"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"V49"	"V50"	"V51"	"V52"	"V53"	"V54"	"V55"	"V56"	"V57"	"V58"	"V59"	"V60"	"V61"	"V62"	"V63"	"V64"	"V65"	"V66"	"V67"	"V68"	"V69"	"V70"	"V71"	"V72"	"V73"	"V74"	"V75"	"V76"	"V77"	"V78"	"V79"	"V80"	"V81"	"V82"	"V83"	"V84"	"V85"	"V86"	"V87"	"V88"	"V89"	"V90"	"V91"	"V92"	"V93"	"V94"	"V95"	"V96"	"V97"	"V98"	"V99"	"V100"
"212"	5	29	4	9	6	18	4	7	0	2	17	7	351	4	3	7	7	2	7	9	4	5	4	4	0	1	0	4	6	45	14	4	8	4	5	14	1	39	10	175	3	4	17	12	2	15	5	1	2	2	5	6	1	4	1	2	3	3	6	2	5	1	1	4	3	3	3	32	4	0	56	35	3	2	22	12	0	0	8	30	7	2	89	3	9	1	8	1	3	9	16	6	12	6	6	12	1	6	6	1
"218"	8	32	8	9	11	19	5	8	0	4	12	2	338	2	4	11	6	0	5	9	6	6	9	4	0	3	0	4	9	36	12	3	8	9	2	19	1	39	6	181	2	4	17	13	7	13	11	0	2	2	6	5	4	8	1	1	4	3	6	7	8	3	0	4	9	8	4	30	8	1	47	38	2	6	18	7	0	3	9	31	10	1	106	2	11	0	7	0	3	7	9	4	12	6	6	11	0	8	5	3
"222"	9	28	14	21	8	18	3	4	0	3	15	2	327	2	5	9	9	0	4	12	3	7	15	5	0	1	0	5	6	43	6	9	4	10	5	20	1	32	9	172	3	3	22	17	12	10	6	0	2	2	6	7	2	9	1	8	2	5	3	7	9	3	0	3	12	3	4	20	10	2	54	33	1	6	27	12	0	3	7	27	5	1	98	3	6	1	7	0	2	5	14	4	7	5	7	8	0	3	5	6
"224"	7	26	7	11	7	18	3	8	0	2	14	3	322	2	6	5	7	2	6	7	7	4	10	4	0	1	1	7	6	46	13	9	7	12	7	25	2	30	8	174	3	5	25	16	12	12	5	0	1	3	5	9	0	8	2	8	0	0	2	7	10	2	0	2	13	3	3	17	6	0	54	38	0	4	24	13	0	3	16	28	3	0	88	4	6	1	10	1	3	3	13	2	9	5	7	10	2	4	3	5
"231"	2	24	2	6	15	19	0	4	0	0	13	3	322	3	3	9	0	1	2	9	3	5	17	2	0	1	0	5	6	51	13	6	2	13	1	32	1	44	9	184	0	8	18	15	4	21	7	0	0	5	3	4	1	9	2	2	2	3	6	9	16	2	0	4	9	2	1	29	7	0	48	46	3	3	21	9	0	2	8	21	5	3	72	3	7	0	14	1	2	5	9	3	14	3	4	16	0	8	11	1
"239"	8	30	10	9	3	25	4	6	0	1	16	0	317	2	4	10	5	3	5	14	2	6	6	3	0	2	0	5	6	51	10	3	4	10	3	22	2	50	10	192	0	7	20	19	2	22	4	0	1	2	2	6	1	9	3	4	1	3	2	4	14	1	1	5	12	6	2	32	3	1	49	37	2	4	28	10	0	3	15	23	10	3	67	6	11	1	5	1	2	6	13	5	11	4	8	14	0	6	7	3
"240"	8	25	10	12	6	25	6	5	0	4	16	1	318	4	7	9	6	1	5	9	4	4	14	4	0	2	0	5	6	50	9	3	0	8	5	18	1	49	9	191	0	8	16	16	2	26	7	0	0	3	2	4	0	14	1	4	2	0	6	8	12	1	1	5	11	6	3	28	4	1	51	38	1	6	24	14	0	3	18	22	6	3	65	7	7	1	4	0	5	8	11	8	13	6	6	13	1	6	7	2
"257"	3	37	9	5	4	20	4	6	1	1	12	0	334	3	3	6	5	4	8	4	3	6	4	3	0	0	0	4	5	57	15	5	2	9	7	22	5	55	7	195	4	6	16	23	8	17	9	0	1	4	2	5	0	7	3	4	0	3	5	6	8	1	0	1	9	3	2	27	6	1	45	48	0	7	26	5	1	0	10	27	4	2	68	2	7	0	10	0	1	9	14	5	18	7	4	14	0	7	12	1
"259"	7	36	7	9	6	19	4	6	0	1	9	2	333	3	3	4	3	5	7	10	4	4	13	5	0	0	0	3	6	53	16	3	6	12	4	31	1	59	5	195	4	7	16	15	5	17	7	0	1	3	0	2	1	10	3	1	3	0	1	7	3	1	0	3	12	6	3	23	9	0	46	46	2	9	24	11	1	1	13	27	4	2	66	4	8	2	9	0	4	4	15	2	20	4	8	15	0	9	3	1
"265"	5	29	6	7	6	19	1	6	0	1	13	6	309	6	7	7	5	2	6	11	5	4	11	0	0	1	0	2	6	54	12	1	5	10	5	30	1	60	9	189	3	9	18	12	2	14	8	0	0	0	0	4	2	10	0	4	1	1	3	8	12	2	0	1	14	3	3	29	13	0	60	36	6	7	18	7	0	3	17	29	4	1	62	4	7	0	5	1	2	8	15	4	17	6	8	13	0	11	6	5
